,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,3154,SCX,ISM,0
1,10000,3154,SCX,ISM,0
0,20000,3154,SCX,ISM,0
2,1000,3183,SCX,ISM,1
1,10000,3183,SCX,ISM,1
0,20000,3183,SCX,ISM,1
2,1000,3112,SCX,ISM,2
1,10000,3112,SCX,ISM,2
0,20000,3112,SCX,ISM,2
2,1000,2990,SCX,ISM,3
1,10000,2990,SCX,ISM,3
0,20000,2990,SCX,ISM,3
2,1000,3117,SCX,ISM,4
1,10000,3117,SCX,ISM,4
0,20000,3117,SCX,ISM,4
2,1000,3308,SCX,ISM,5
1,10000,3308,SCX,ISM,5
0,20000,3308,SCX,ISM,5
2,1000,3218,SCX,ISM,6
1,10000,3218,SCX,ISM,6
0,20000,3218,SCX,ISM,6
2,1000,3134,SCX,ISM,7
1,10000,3128,SCX,ISM,7
0,20000,3134,SCX,ISM,7
2,1000,3082,SCX,ISM,8
1,10000,3082,SCX,ISM,8
0,20000,3082,SCX,ISM,8
2,1000,3259,SCX,ISM,9
1,10000,3259,SCX,ISM,9
0,20000,3259,SCX,ISM,9
2,1000,3099,SCX,ISM,10
1,10000,3099,SCX,ISM,10
0,20000,3099,SCX,ISM,10
2,1000,3151,SCX,ISM,11
1,10000,3151,SCX,ISM,11
0,20000,3151,SCX,ISM,11
2,1000,3078,SCX,ISM,12
1,10000,3078,SCX,ISM,12
0,20000,3078,SCX,ISM,12
2,1000,3159,SCX,ISM,13
1,10000,3159,SCX,ISM,13
0,20000,3159,SCX,ISM,13
2,1000,3168,SCX,ISM,14
1,10000,3168,SCX,ISM,14
0,20000,3168,SCX,ISM,14
2,1000,3209,SCX,ISM,15
1,10000,3209,SCX,ISM,15
0,20000,3209,SCX,ISM,15
2,1000,3162,SCX,ISM,16
1,10000,3162,SCX,ISM,16
0,20000,3156,SCX,ISM,16
2,1000,3110,SCX,ISM,17
1,10000,3110,SCX,ISM,17
0,20000,3110,SCX,ISM,17
2,1000,3021,SCX,ISM,18
1,10000,3021,SCX,ISM,18
0,20000,3021,SCX,ISM,18
2,1000,3147,SCX,ISM,19
1,10000,3147,SCX,ISM,19
0,20000,3147,SCX,ISM,19
2,1000,3122,SCX,ISM,20
1,10000,3122,SCX,ISM,20
0,20000,3122,SCX,ISM,20
2,1000,3060,SCX,ISM,21
1,10000,3060,SCX,ISM,21
0,20000,3060,SCX,ISM,21
2,1000,3125,SCX,ISM,22
1,10000,3125,SCX,ISM,22
0,20000,3125,SCX,ISM,22
2,1000,3127,SCX,ISM,23
1,10000,3127,SCX,ISM,23
0,20000,3127,SCX,ISM,23
2,1000,3144,SCX,ISM,24
1,10000,3144,SCX,ISM,24
0,20000,3144,SCX,ISM,24
2,1000,3191,SCX,ISM,25
