,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,2976,SCX,ISM,0
1,10000,2976,SCX,ISM,0
0,20000,2976,SCX,ISM,0
2,1000,3054,SCX,ISM,1
1,10000,3054,SCX,ISM,1
0,20000,3054,SCX,ISM,1
2,1000,3096,SCX,ISM,2
1,10000,3096,SCX,ISM,2
0,20000,3096,SCX,ISM,2
2,1000,3087,SCX,ISM,3
1,10000,3087,SCX,ISM,3
0,20000,3087,SCX,ISM,3
2,1000,3116,SCX,ISM,4
1,10000,3116,SCX,ISM,4
0,20000,3116,SCX,ISM,4
2,1000,3048,SCX,ISM,5
1,10000,3048,SCX,ISM,5
0,20000,3048,SCX,ISM,5
2,1000,3092,SCX,ISM,6
1,10000,3092,SCX,ISM,6
0,20000,3092,SCX,ISM,6
2,1000,3021,SCX,ISM,7
1,10000,3021,SCX,ISM,7
0,20000,3021,SCX,ISM,7
2,1000,3104,SCX,ISM,8
1,10000,3104,SCX,ISM,8
0,20000,3104,SCX,ISM,8
2,1000,3102,SCX,ISM,9
1,10000,3102,SCX,ISM,9
0,20000,3102,SCX,ISM,9
2,1000,3089,SCX,ISM,10
1,10000,3089,SCX,ISM,10
0,20000,3089,SCX,ISM,10
2,1000,3083,SCX,ISM,11
1,10000,3083,SCX,ISM,11
0,20000,3083,SCX,ISM,11
2,1000,3068,SCX,ISM,12
1,10000,3068,SCX,ISM,12
0,20000,3068,SCX,ISM,12
2,1000,3108,SCX,ISM,13
1,10000,3108,SCX,ISM,13
0,20000,3108,SCX,ISM,13
2,1000,3103,SCX,ISM,14
1,10000,3103,SCX,ISM,14
0,20000,3103,SCX,ISM,14
2,1000,3042,SCX,ISM,15
1,10000,3042,SCX,ISM,15
0,20000,3042,SCX,ISM,15
2,1000,3078,SCX,ISM,16
1,10000,3078,SCX,ISM,16
0,20000,3078,SCX,ISM,16
2,1000,3047,SCX,ISM,17
1,10000,3047,SCX,ISM,17
0,20000,3047,SCX,ISM,17
2,1000,3108,SCX,ISM,18
1,10000,3108,SCX,ISM,18
0,20000,3108,SCX,ISM,18
2,1000,3072,SCX,ISM,19
1,10000,3072,SCX,ISM,19
0,20000,3062,SCX,ISM,19
2,1000,3096,SCX,ISM,20
1,10000,3096,SCX,ISM,20
0,20000,3096,SCX,ISM,20
2,1000,3076,SCX,ISM,21
1,10000,3076,SCX,ISM,21
0,20000,3076,SCX,ISM,21
2,1000,3087,SCX,ISM,22
1,10000,3087,SCX,ISM,22
0,20000,3087,SCX,ISM,22
2,1000,3114,SCX,ISM,23
1,10000,3114,SCX,ISM,23
0,20000,3110,SCX,ISM,23
2,1000,3092,SCX,ISM,24
1,10000,3092,SCX,ISM,24
0,20000,3092,SCX,ISM,24
2,1000,3119,SCX,ISM,25
1,10000,3119,SCX,ISM,25
0,20000,3119,SCX,ISM,25
2,1000,3072,SCX,ISM,26
1,10000,3072,SCX,ISM,26
0,20000,3072,SCX,ISM,26
2,1000,3099,SCX,ISM,27
1,10000,3099,SCX,ISM,27
0,20000,3099,SCX,ISM,27
2,1000,3054,SCX,ISM,28
1,10000,3054,SCX,ISM,28
0,20000,3054,SCX,ISM,28
2,1000,3065,SCX,ISM,29
1,10000,3065,SCX,ISM,29
0,20000,3065,SCX,ISM,29
2,1000,3102,SCX,ISM,30
1,10000,3102,SCX,ISM,30
0,20000,3102,SCX,ISM,30
2,1000,3081,SCX,ISM,31
1,10000,3081,SCX,ISM,31
0,20000,3081,SCX,ISM,31
2,1000,3087,SCX,ISM,32
1,10000,3087,SCX,ISM,32
0,20000,3087,SCX,ISM,32
2,1000,3082,SCX,ISM,33
1,10000,3082,SCX,ISM,33
0,20000,3082,SCX,ISM,33
2,1000,3100,SCX,ISM,34
1,10000,3100,SCX,ISM,34
0,20000,3100,SCX,ISM,34
2,1000,3081,SCX,ISM,35
1,10000,3081,SCX,ISM,35
0,20000,3081,SCX,ISM,35
2,1000,3056,SCX,ISM,36
1,10000,3056,SCX,ISM,36
0,20000,3056,SCX,ISM,36
2,1000,3075,SCX,ISM,37
1,10000,3075,SCX,ISM,37
0,20000,3075,SCX,ISM,37
2,1000,3058,SCX,ISM,38
1,10000,3058,SCX,ISM,38
0,20000,3058,SCX,ISM,38
2,1000,3065,SCX,ISM,39
1,10000,3065,SCX,ISM,39
0,20000,3065,SCX,ISM,39
2,1000,3097,SCX,ISM,40
1,10000,3097,SCX,ISM,40
0,20000,3097,SCX,ISM,40
2,1000,3022,SCX,ISM,41
1,10000,3022,SCX,ISM,41
0,20000,3022,SCX,ISM,41
2,1000,3102,SCX,ISM,42
1,10000,3102,SCX,ISM,42
0,20000,3102,SCX,ISM,42
2,1000,3106,SCX,ISM,43
1,10000,3106,SCX,ISM,43
0,20000,3106,SCX,ISM,43
2,1000,3097,SCX,ISM,44
1,10000,3097,SCX,ISM,44
0,20000,3097,SCX,ISM,44
2,1000,3022,SCX,ISM,45
1,10000,3022,SCX,ISM,45
0,20000,3022,SCX,ISM,45
2,1000,3024,SCX,ISM,46
1,10000,3024,SCX,ISM,46
0,20000,3024,SCX,ISM,46
2,1000,3017,SCX,ISM,47
1,10000,3017,SCX,ISM,47
0,20000,3017,SCX,ISM,47
2,1000,3148,SCX,ISM,48
1,10000,3148,SCX,ISM,48
0,20000,3148,SCX,ISM,48
2,1000,3034,SCX,ISM,49
1,10000,3034,SCX,ISM,49
0,20000,3034,SCX,ISM,49
2,1000,3084,SCX,ISM,50
1,10000,3084,SCX,ISM,50
0,20000,3084,SCX,ISM,50
2,1000,3033,SCX,ISM,51
1,10000,3033,SCX,ISM,51
0,20000,3033,SCX,ISM,51
2,1000,3118,SCX,ISM,52
1,10000,3118,SCX,ISM,52
0,20000,3118,SCX,ISM,52
2,1000,3068,SCX,ISM,53
1,10000,3068,SCX,ISM,53
0,20000,3068,SCX,ISM,53
2,1000,3081,SCX,ISM,54
1,10000,3081,SCX,ISM,54
0,20000,3081,SCX,ISM,54
2,1000,3066,SCX,ISM,55
1,10000,3066,SCX,ISM,55
0,20000,3066,SCX,ISM,55
2,1000,3051,SCX,ISM,56
1,10000,3051,SCX,ISM,56
0,20000,3051,SCX,ISM,56
2,1000,3086,SCX,ISM,57
1,10000,3086,SCX,ISM,57
0,20000,3086,SCX,ISM,57
2,1000,3099,SCX,ISM,58
1,10000,3099,SCX,ISM,58
0,20000,3099,SCX,ISM,58
2,1000,2998,SCX,ISM,59
1,10000,2998,SCX,ISM,59
0,20000,2998,SCX,ISM,59
2,1000,3112,SCX,ISM,60
1,10000,3112,SCX,ISM,60
0,20000,3112,SCX,ISM,60
2,1000,3056,SCX,ISM,61
1,10000,3056,SCX,ISM,61
0,20000,3056,SCX,ISM,61
2,1000,3151,SCX,ISM,62
1,10000,3151,SCX,ISM,62
0,20000,3151,SCX,ISM,62
2,1000,3098,SCX,ISM,63
1,10000,3098,SCX,ISM,63
0,20000,3098,SCX,ISM,63
2,1000,3047,SCX,ISM,64
1,10000,3047,SCX,ISM,64
0,20000,3047,SCX,ISM,64
2,1000,3103,SCX,ISM,65
1,10000,3103,SCX,ISM,65
0,20000,3103,SCX,ISM,65
